Emp ID,Absent,Late,Sick Leave,LOA,Emergency Leave,Maternity Leave,BL,Suspension,Attrition
DH03084,0,0,0,0,0,0,0,0,NO
DH03085,0,1,0,0,0,0,0,0,NO
DH03086,5,0,0,0,0,0,0,0,NO
DH03087,1,0,0,0,0,0,0,0,NO
DH03088,1,1,3,0,0,0,0,0,NO
DH03089,6,0,0,0,0,0,0,0,YES
DH03090,0,1,0,0,0,0,0,0,NO
DH03091,7,0,1,0,0,0,0,0,YES
DH03092,3,5,0,0,0,0,0,0,NO
DH03093,5,2,0,0,0,0,0,0,NO
DH03095,1,0,0,0,0,0,0,0,NO
DH03096,5,0,0,0,0,0,0,0,YES
DH03097,1,0,0,0,0,0,0,0,YES
DH03098,8,3,0,8,0,0,0,0,NO
DH03099,5,0,0,0,0,0,0,0,YES
DH03100,15,0,0,0,0,0,1,0,YES
DH03101,2,2,0,0,0,0,0,0,NO
DH03102,7,3,2,0,0,0,0,0,NO
DH03103,1,0,0,0,0,0,0,0,YES
DH03104,20,0,0,0,0,0,0,0,NO
DH03105,2,0,0,0,0,0,0,0,YES
DH03106,15,1,0,0,0,0,0,0,NO
DH03107,1,0,0,0,0,0,0,0,YES
DH03108,2,3,0,0,0,0,0,0,NO
DH03109,1,0,0,0,0,0,0,0,YES
DH03110,15,4,0,0,0,0,0,0,NO
DH03111,14,4,0,0,0,0,0,0,NO
DH03112,12,0,0,0,0,0,0,0,NO
DH03113,3,3,0,0,0,0,0,0,NO
DH03114,0,0,0,0,0,0,0,0,YES
DH03115,2,3,0,0,0,0,0,0,NO
DH03116,0,0,0,0,0,0,0,0,YES
DH03118,1,0,0,0,0,0,0,0,NO
DH03119,2,0,0,0,0,0,0,0,YES
DH03120,2,0,0,0,0,0,0,0,NO
DH03121,13,0,0,0,0,0,0,0,NO
DH03122,3,0,0,0,0,0,0,0,NO
DH03123,0,1,0,0,0,0,0,0,NO
DH03124,0,0,0,0,0,0,0,0,NO
DH03125,0,0,0,0,0,0,0,0,NO
DH03126,1,0,0,0,0,0,0,0,NO
DH03127,1,0,0,0,0,0,0,0,YES
DH03128,0,0,0,0,0,0,0,0,NO
DH03129,0,4,0,0,0,0,0,0,NO
DH03130,0,0,0,0,0,0,0,0,NO
DH03131,5,0,0,0,0,0,0,0,NO
DH03140,2,0,0,0,0,0,0,0,YES
DH03141,0,1,0,0,0,0,0,0,NO
DH03142,0,3,0,0,0,0,0,0,NO
DH03143,1,5,0,0,0,0,0,0,NO
DH03144,0,0,0,0,0,0,0,0,YES
DH03146,4,0,0,0,0,0,0,0,YES
DH03147,0,0,0,0,0,0,0,0,NO
DH03148,1,3,0,0,0,0,0,0,NO
DH03149,2,2,0,0,0,0,0,0,YES
DH03150,0,0,0,0,0,0,0,0,NO
DH03151,0,0,2,0,0,0,0,0,NO
DH03152,0,0,0,0,0,0,0,0,NO
DH03154,0,0,0,0,0,0,0,0,NO
DH03155,10,0,0,0,0,0,0,0,YES
DH03157,0,0,0,0,0,0,0,0,YES
DH03158,0,1,0,0,0,0,0,0,NO
DH03159,1,1,0,0,0,0,0,0,NO
DH03160,0,1,0,0,0,0,0,0,NO
DH03161,0,0,0,0,0,0,0,0,YES
DH03164,0,3,0,0,0,0,0,0,NO
DH03165,0,0,0,0,0,0,4,0,NO
DH03166,0,0,0,0,0,0,0,0,NO
DH03167,0,0,0,0,0,0,0,0,NO
DH03168,0,1,0,0,0,0,0,0,NO
DH03169,0,2,0,0,0,0,0,0,NO
DH03170,0,0,0,0,0,0,0,0,NO
DH03171,0,0,0,0,0,0,0,0,NO
DH03172,1,0,0,0,0,0,0,0,NO
DH03173,0,4,0,0,0,0,0,0,NO
DH03174,0,0,0,0,0,0,0,0,NO
DH03175,0,0,0,0,0,0,0,0,YES
DH03178,0,0,0,11,0,0,0,0,YES
DH03179,0,0,0,0,0,0,0,0,NO
DH03180,0,0,0,0,0,0,0,0,NO
DH03181,0,0,0,0,0,0,0,0,YES
DH03183,1,0,0,0,0,0,0,0,NO
DH03184,5,0,0,0,0,0,0,0,YES
DH03185,4,0,1,0,0,0,0,0,NO
DH03186,0,0,0,0,0,0,0,0,NO
DH03187,1,0,0,0,0,0,0,0,NO
DH03188,0,0,0,0,0,0,0,0,NO
DH03189,6,0,0,0,0,0,0,0,YES
DH03190,9,0,0,0,0,0,0,0,NO
DH03191,0,0,0,0,0,0,0,0,NO
DH03192,6,0,0,9,0,0,0,0,NO
DH03193,3,0,0,0,0,0,0,0,NO
DH03194,0,0,0,0,0,0,0,0,NO
DH03195,0,1,0,0,0,0,0,0,NO
DH03201,1,0,2,0,0,0,0,0,NO
DH03202,0,0,0,0,0,0,0,0,NO
DH03203,0,0,0,0,0,0,0,0,NO
DH03204,1,0,0,0,0,0,0,0,NO
DH03205,1,0,0,0,0,0,0,0,NO
DH03206,0,0,0,0,0,0,0,0,NO
DH03209,0,0,0,0,0,0,0,0,YES
DH03210,0,2,0,0,0,0,0,0,NO
DH03211,0,0,0,0,0,0,0,0,NO
DH03213,0,0,0,0,0,0,0,0,NO
DH03214,0,0,5,0,0,0,0,0,YES
DH03215,0,1,0,0,0,0,0,0,NO
DH03216,0,0,0,0,0,0,0,0,YES
DH03217,0,0,0,0,0,0,0,0,YES
DH03218,0,0,0,0,0,0,0,0,NO
DH03219,0,0,0,0,0,0,0,0,NO
DH03223,0,0,0,0,0,0,0,0,NO
DH03224,0,0,0,0,0,0,0,0,NO
DH03225,0,0,0,0,0,0,0,0,NO
DH03226,0,0,0,0,0,0,0,0,NO
DH03227,0,0,0,0,0,0,0,0,NO
DH03228,0,0,0,0,0,0,0,0,NO
DH03229,0,0,0,0,0,0,0,0,NO
DH03230,0,0,0,0,0,0,0,0,NO
DH03231,0,0,0,0,0,0,0,0,NO
DH03232,0,0,0,0,0,0,0,0,YES
DH03233,0,0,0,0,0,0,0,0,NO
DH03234,0,0,0,0,0,0,0,0,NO
DH03235,0,0,0,0,0,0,0,0,NO
